PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-07,19:05:22.78,1,1,"Yeary, Will",815611,Right,LIN_POT,"Nordyke, Tyler",N/A,Left,PET_ATH,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.62186,-0.102976,-2.693051,2073.37932,243.83023,2:15,5.59286,1.16686,6.03291,-28.04742,8.29426,14.46072,3.16011,-0.12372,79.82629,-5.343679,-0.09272,0.433884,,,,,,,,,,,,-8.17445,4.66599,-0.96394,50,5.56975,5.38079,-127.17044,-1.14324,-13.33556,27.00791,-24.56207,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,09a3aab0-440d-11f0-b097-3f24014ce09d,86.87214,,,7.79557,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:05:22.78,2025-06-07T19:05:22.7879424-07:00,2025-06-08T02:05:22.7879424Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,6b47278a-83d5-4dd4-9985-6cf7f3ec9a05,54.46461,-128.11511,13.50395,5.59471,-0.28413,-12.28103,-1.16031,5.84723,-6.66778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-07,19:05:35.78,1,2,"Yeary, Will",815611,Right,LIN_POT,"Nordyke, Tyler",N/A,Left,PET_ATH,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.30505,-0.044652,-2.20362,2227.277041,229.854716,1:45,5.6382,1.08129,6.28279,-23.26978,11.9767,12.90138,3.65786,0.12443,80.77172,-4.435931,0.127635,0.427297,,,,,,,,,,,,-7.2813,6.56965,-0.9246,50,5.62355,4.42002,-128.31336,-0.79794,-12.15182,26.29259,-21.20992,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,1160de30-440d-11f0-b097-3f24014ce09d,88.21144,,,7.53332,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:05:35.78,2025-06-07T19:05:35.7805056-07:00,2025-06-08T02:05:35.7805056Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,bbcea2bf-fbf3-4dcf-9b91-b8c07ee50caf,54.21525,-129.17421,13.14629,5.63831,-0.10349,-10.60496,-1.07583,4.81788,-6.07591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-07,19:05:48.74,1,3,"Yeary, Will",815611,Right,LIN_POT,"Nordyke, Tyler",N/A,Left,PET_ATH,Undefined,1,Top,0,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.40798,-0.076566,-1.530186,2282.669067,221.619497,1:30,5.577,1.0644,6.36819,-20.62336,14.47808,11.8765,3.78791,0.64575,80.68724,-4.001365,0.620201,0.426417,,,,,,,,,,,,-6.58103,7.89709,-0.95884,50,5.56168,2.95689,-128.48869,-0.75249,-10.98844,26.92317,-18.98812,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,19170cd0-440d-11f0-b097-3f24014ce09d,88.39348,,,7.72075,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:05:48.74,2025-06-07T19:05:48.7494144-07:00,2025-06-08T02:05:48.7494144Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,3f0f53e0-3b41-4367-93a5-60866bb10e3c,54.12897,-129.35097,13.46159,5.57604,-0.14435,-9.49406,-1.05918,3.30882,-5.49422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-07,19:06:05.92,1,4,"Yeary, Will",815611,Right,LIN_POT,"Nordyke, Tyler",N/A,Left,PET_ATH,Undefined,1,Top,0,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.72583,-2.471599,-2.970558,2325.929224,211.140881,1:00,5.4459,1.24583,6.25962,-19.36765,15.79021,8.84556,1.54849,-0.75852,81.05062,-6.145796,-1.374146,0.426759,,,,,,,,,,,,-5.4091,9.2378,-1.02947,50,5.2527,6.31792,-128.66774,-6.10889,-9.05106,27.15811,-16.71639,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,23585320-440d-11f0-b097-3f24014ce09d,88.32257,,,7.67521,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:06:05.92,2025-06-07T19:06:05.9235328-07:00,2025-06-08T02:06:05.9235328Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,52b4ea82-e394-4df7-9780-6739706ee67f,54.2373,-129.55903,13.57906,5.44419,-5.56028,-8.3582,-1.24169,6.61496,-4.52553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-07,19:06:18.10,1,5,"Yeary, Will",815611,Right,LIN_POT,"Nordyke, Tyler",N/A,Left,PET_ATH,Undefined,1,Top,0,3,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.38025,-1.585754,-2.683491,2288.386861,227.744281,1:30,5.53624,1.21985,6.08827,-21.98033,13.51847,13.64698,2.23566,-0.12708,80.94052,-5.719827,-0.226781,0.428823,66.98289,11.960229,3.168219,2050.004756,,,,120.01899,120.01899,6.681578,1.404388,-7.81083,7.75552,-1.02003,50,5.40213,5.46594,-128.31232,-4.22945,-13.03213,26.35305,-19.23423,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,2a931030-440d-11f0-b097-3f24014ce09d,87.89738,8.59635,,7.43974,,,,1.57853,2.2519,0.1177,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:06:18.10,2025-06-07T19:06:18.1016064-07:00,2025-06-08T02:06:18.1016064Z,GroundBall,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,d3534169-b936-4e82-8e56-bd622ac29a1d,54.41105,-129.2151,13.17653,5.53573,-3.57054,-9.61711,-1.21492,5.91238,-6.51607,254.838585,1.57853,95.96186,-9.98627,1.20342,-0.24318,0.03668,-0.00569,0.00103,-0.00011,2.2519,20.35883,-16.9913,1.1464,-0.17822,0.04087,-0.00557,0.00062,-6E-05,0.1177,5.31171,3.93571,-0.6396,0.12725,-0.02177,0.00324,-0.00052,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-06-07,19:06:48.37,2,1,"Yeary, Will",815611,Right,LIN_POT,"Caiate, Dante",N/A,Left,PET_ATH,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.96948,-0.383235,-3.666674,2284.508151,230.038483,1:45,5.45746,1.29409,5.9945,-37.45156,3.38256,2.40244,1.98062,-1.9082,75.62475,-7.311884,-3.235649,0.459921,,,,,,,,,,,,-2.33835,2.27898,-1.00626,50,5.40684,7.61173,-120.24604,-2.01355,-3.39586,25.08339,-28.8644,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,3ca7aa10-440d-11f0-b097-3f24014ce09d,81.95421,,,7.34473,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:06:48.37,2025-06-07T19:06:48.3765760-07:00,2025-06-08T02:06:48.3765760Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,e3362c14-4691-4245-a67e-ce04d44aa291,54.50271,-121.18167,12.54169,5.46187,-0.93689,-14.4322,-1.29254,7.7384,-1.69793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-07,19:07:00.99,2,2,"Yeary, Will",815611,Right,LIN_POT,"Caiate, Dante",N/A,Left,PET_ATH,Undefined,1,Top,1,1,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.58373,-0.930887,-2.904211,2288.06603,220.492418,1:15,5.41514,1.26329,6.09737,-38.05793,4.02201,2.21102,1.3815,-1.24083,74.36751,-7.985433,-2.506029,0.466884,,,,,,,,,,,,-2.02784,2.80996,-1.04074,50,5.32371,5.91795,-118.31213,-3.10926,-2.846,24.64774,-28.23036,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,44367a90-440d-11f0-b097-3f24014ce09d,80.73192,,,7.21622,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:07:00.99,2025-06-07T19:07:00.9940480-07:00,2025-06-08T02:07:00.9940480Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,8d90ae64-4ba8-4fd9-bdfb-f54dd6923413,54.39944,-119.22514,12.32387,5.41952,-2.06355,-14.11518,-1.2619,6.02337,-1.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-07,19:07:13.51,2,3,"Yeary, Will",815611,Right,LIN_POT,"Caiate, Dante",N/A,Left,PET_ATH,Undefined,1,Top,1,1,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.81925,-1.799586,-1.166371,2047.300071,239.176242,2:00,5.51775,1.07429,5.97563,-27.14375,9.99768,14.6854,1.58663,1.21668,79.21985,-6.860408,1.476378,0.438633,,,,,,,,,,,,-7.85209,6.04579,-0.98993,50,5.36043,1.95982,-126.02024,-4.83368,-12.55307,27.01327,-22.50871,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,4ba20ba0-440d-11f0-b097-3f24014ce09d,85.9317,,,7.5994,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:07:13.51,2025-06-07T19:07:13.5183360-07:00,2025-06-08T02:07:13.5183360Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,d1f69372-e74c-46b4-a37a-39ba8354db06,54.52166,-126.98579,13.50663,5.51882,-4.02914,-11.25436,-1.068,2.40851,-6.27654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-07,19:07:26.53,2,4,"Yeary, Will",815611,Right,LIN_POT,"Caiate, Dante",N/A,Left,PET_ATH,Undefined,1,Top,1,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.67994,-1.278893,-2.913945,2190.246665,132.03245,10:30,5.45776,1.1356,5.94443,-37.22785,3.7352,-2.69567,1.16745,-1.79422,75.90666,-8.133837,-3.397891,0.460646,,,,,,,,,,,,0.54622,2.68528,-0.90189,50,5.33494,6.20963,-119.94461,-3.88441,0.79313,23.90651,-28.27487,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,5361fe40-440d-11f0-b097-3f24014ce09d,81.82512,,,6.77328,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:07:26.53,2025-06-07T19:07:26.5317888-07:00,2025-06-08T02:07:26.5317888Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,c015f470-9fdd-4dc9-9e11-524870153cca,54.55378,-120.84883,11.95325,5.46163,-2.81496,-14.13743,-1.13619,6.17963,0.39657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-07,19:07:39.45,2,5,"Yeary, Will",815611,Right,LIN_POT,"Caiate, Dante",N/A,Left,PET_ATH,Undefined,1,Top,1,2,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.08671,-1.640134,-3.686299,2279.611307,222.311465,1:30,5.50108,1.07944,6.21775,-21.51261,13.97485,11.73721,2.19132,-1.34884,80.94965,-5.690673,-1.571915,0.428755,,,,,,,,,,,,-7.04949,8.01056,-0.80879,50,5.36715,7.76863,-127.81579,-4.30514,-11.72468,25.01452,-18.85092,LIN_POT,PET_ATH,McBean,TeamExclusive,Team,20250607-McBean-Private-2,5b121260-440d-11f0-b097-3f24014ce09d,87.91146,,,7.13706,,,,,,,e24e5734-38c2-4612-a2d8-dd29c4a3b24a,2025-06-08,02:07:39.45,2025-06-07T19:07:39.4500608-07:00,2025-06-08T02:07:39.4500608Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,588f0e4f-5fe2-4616-9eb2-23bfc05eb009,54.2811,-128.65091,12.50726,5.50037,-3.6758,-9.42546,-1.07468,8.16006,-5.86234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
