PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-19,19:07:35.65,1,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Smith, Trevor",10014675,Left,MED_ROG,Undefined,1,Top,0,0,0,Undefined,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,,92.28413,-2.825877,-4.906649,2190.41062,246.131632,2:15,4.71157,1.68133,6.21207,-23.49466,9.12103,18.24099,0.134,-1.33798,84.51224,-7.215561,-1.625294,0.411041,,,,,,,,,,,,-11.00469,5.8128,-1.32235,50,4.48691,10.74902,-133.60882,-7.38056,-19.88673,28.86256,-21.66963,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,4e5f47a0-650e-11f0-a2d9-0d8ab9ffc8c1,91.70004,,,7.77189,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:07:35.65,2025-07-19T19:07:35.6535808-07:00,2025-07-20T02:07:35.6535808Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,294998eb-ed7c-41b4-91f8-20a36bf536ea,54.28989,-134.53235,14.43128,4.71197,-6.68719,-10.83481,-1.67647,11.38534,-9.94337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,,,1,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Smith, Trevor",10014675,Left,MED_ROG,Undefined,1,Top,0,1,0,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,5f903840-650e-11f0-a2d9-0d8ab9ffc8c1,,,,,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,,,,,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-07-19,19:08:37.06,2,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Ortiz, Chris",1000083425,Right,MED_ROG,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.80714,-1.008913,-4.13793,2347.873022,236.782404,2:00,4.7739,1.80023,6.38591,-20.31619,12.44906,17.34462,2.15031,-0.56731,83.46667,-4.868695,-1.005362,0.411982,,,,,,,,,,,,-10.18851,7.10489,-1.50936,50,4.69166,8.90852,-133.10652,-2.95297,-18.19993,29.72283,-19.48246,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,730859c0-650e-11f0-a2d9-0d8ab9ffc8c1,91.49053,,,8.34047,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:08:37.06,2025-07-19T19:08:37.0667520-07:00,2025-07-20T02:08:37.0667520Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,ac6efa3c-5242-47d7-ae6a-ccb68e613ab0,54.112,-134.02159,14.86142,4.77334,-2.35317,-9.74123,-1.79225,9.46884,-9.09996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-19,19:08:54.08,2,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Ortiz, Chris",1000083425,Right,MED_ROG,Undefined,1,Top,1,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.48964,-0.269363,-4.783285,2303.925153,241.149613,2:00,4.56964,1.87696,6.47446,-35.8051,4.18441,5.52925,1.33765,-2.06503,76.34663,-6.918299,-3.784846,0.455139,,,,,,,,,,,,-4.10874,2.61335,-1.54189,50,4.53478,9.81943,-119.67652,-1.61226,-6.01356,21.11275,-28.34918,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,7d2b90c0-650e-11f0-a2d9-0d8ab9ffc8c1,82.81514,,,6.14301,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:08:54.08,2025-07-19T19:08:54.0820480-07:00,2025-07-20T02:08:54.0820480Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,f79dba0b-0d72-47f8-82ba-e65c7b250f29,54.02562,-120.38461,10.55638,4.57291,-0.66148,-14.17459,-1.8746,10.02112,-3.00678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-19,19:09:10.67,2,3,"Vasser, Eric",1000391537,Right,LIN_POT,"Ortiz, Chris",1000083425,Right,MED_ROG,Undefined,1,Top,1,1,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.45909,1.393913,-3.544024,2018.593956,182.988996,12:00,4.4892,1.94764,6.11813,-37.92053,5.63603,0.23091,2.62059,-1.31385,73.46806,-5.625522,-3.502549,0.475005,,,,,,,,,,,,-1.00059,2.94579,-1.67598,50,4.57629,7.13662,-115.36373,1.67778,-1.36248,19.37383,-28.16293,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,8719fc20-650e-11f0-a2d9-0d8ab9ffc8c1,79.35168,,,5.99103,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:09:10.67,2025-07-19T19:09:10.6776064-07:00,2025-07-20T02:09:10.6776064Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,4aade2b3-bfa4-421a-b39d-7daa92cbddca,54.38131,-116.09719,9.68692,4.49259,2.74397,-14.08146,-1.94714,7.1882,-0.68124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-19,19:09:32.31,2,4,"Vasser, Eric",1000391537,Right,LIN_POT,"Ortiz, Chris",1000083425,Right,MED_ROG,Undefined,1,Top,1,1,2,Undefined,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.84651,0.208382,-1.012827,2634.400396,45.788229,7:30,4.77904,1.84646,5.87009,-58.70519,-9.65808,-11.60973,0.08053,-0.06189,69.55629,-10.51857,-3.102674,0.504055,,,,,,,,,,,,5.64607,-4.56634,-1.75767,50,4.76186,2.36225,-110.17366,-1.43333,6.84999,21.93509,-37.71409,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,93fc7a30-650e-11f0-a2d9-0d8ab9ffc8c1,74.77839,,,6.29022,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:09:32.31,2025-07-19T19:09:32.3150336-07:00,2025-07-20T02:09:32.3150336Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,ff095c02-f986-49f6-9da7-0794d8fe66f3,54.63127,-111.0919,10.96754,4.78881,0.14544,-18.85705,-1.85056,2.0755,3.42499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-19,19:10:14.36,3,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Marian, Jordan",1000239468,Right,MED_ROG,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.79788,0.147842,-2.587975,2699.109792,48.195477,7:30,4.70302,2.0714,5.98877,-59.43306,-9.98835,-13.14894,-0.11258,-1.42447,68.99745,-10.737685,-4.954768,0.506094,,,,,,,,,,,,6.01083,-4.98311,-1.85948,50,4.68119,5.41309,-109.95388,-1.49036,7.18087,23.88508,-38.12713,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,acf377f0-650e-11f0-a2d9-0d8ab9ffc8c1,74.47711,,,6.80043,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:10:14.36,2025-07-19T19:10:14.3621632-07:00,2025-07-20T02:10:14.3621632Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,ef72a52e-36fd-432b-ae41-7634587197e7,54.51336,-110.92997,11.94254,4.71026,0.06776,-19.06356,-2.07469,5.11963,3.59043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-19,19:10:33.97,3,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Marian, Jordan",1000239468,Right,MED_ROG,Undefined,1,Top,2,1,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.42627,-1.454937,-3.546436,2143.603792,245.037015,2:15,4.68913,1.85424,6.35627,-23.52667,9.44229,17.98395,1.38664,0.08469,83.45991,-5.882384,-0.295004,0.413261,,,,,,,,,,,,-10.3413,5.66067,-1.60481,50,4.57252,7.48203,-132.66008,-4.11352,-18.38805,28.96397,-22.10872,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,b8b43250-650e-11f0-a2d9-0d8ab9ffc8c1,91.20745,,,7.96636,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:10:33.97,2025-07-19T19:10:33.9767296-07:00,2025-07-20T02:10:33.9767296Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,7a27a20d-288c-46ac-a166-b57ba720873f,54.14254,-133.56147,14.48199,4.68983,-3.42547,-11.05436,-1.84657,8.05429,-9.19403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-19,19:10:54.44,3,3,"Vasser, Eric",1000391537,Right,LIN_POT,"Marian, Jordan",1000239468,Right,MED_ROG,Undefined,1,Top,2,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.81195,-4.040823,-6.314798,1767.78569,260.79161,2:45,4.69855,1.82154,6.34859,-36.06136,4.70091,20.47871,-2.05508,-2.30836,75.9949,-10.69337,-2.626754,0.459516,,,,,,,,,,,,-12.98981,3.85984,-1.3721,50,4.38549,12.5489,-119.47795,-9.53417,-18.65555,24.40565,-26.63068,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,c4d84260-650e-11f0-a2d9-0d8ab9ffc8c1,82.0264,,,6.81705,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:10:54.44,2025-07-19T19:10:54.4413184-07:00,2025-07-20T02:10:54.4413184Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,c806c8f2-9fd6-4cc2-92ee-4ed5ae4560f0,54.15523,-120.32374,12.20283,4.69991,-8.61127,-13.31534,-1.81819,13.19542,-9.32778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-19,19:12:14.85,3,4,"Vasser, Eric",1000391537,Right,LIN_POT,"Marian, Jordan",1000239468,Right,MED_ROG,Undefined,1,Top,2,2,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.26921,0.046202,-1.173245,2141.857127,241.895151,2:00,4.74466,1.84425,5.87256,-23.88812,9.85571,16.35237,2.79691,2.11707,82.88495,-4.429416,1.761178,0.418089,,,,,,,,,,,,-8.66626,5.36488,-1.75862,50,4.73468,1.99044,-132.51182,-0.70501,-15.30208,30.1548,-22.70124,LIN_POT,MED_ROG,McBean,Pacific Empire,PEL,20250719-McBean-1,f4dcbd60-650e-11f0-a2d9-0d8ab9ffc8c1,90.1541,,,8.38426,,,,,,,82ca397d-ffe4-4539-9503-3b5a6c0f1df9,2025-07-20,02:12:14.85,2025-07-19T19:12:14.8556800-07:00,2025-07-20T02:12:14.8556800Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,d03e7d35-cf37-4b79-bc5d-07efb07d7267,54.6247,-133.56008,15.0774,4.74547,0.08414,-11.35062,-1.83706,2.52239,-7.65104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
